Datetime,Tweet Id,Tweet,Username,Sentimen
2021-03-23 07:13:45+00:00,1374258047221002244,@byu_id Ketika jaringan ilang pas lagi belajar daring https://t.co/59AjH1cZ55,brvhhhhhh,-1
2021-03-21 09:41:27+00:00,1373570441978155008,"@trailerjhope @realmeindonesia done kak nora, bismillah cici mau menang GA karena HP yang ini udah 5 tahun ga ganti dan udah lemod parah😭😭 penyimpanan nya juga udah penuh, gabisa buat nyimpen materi pas daring😭🙏🙏 cici susah banget kalo belajar tiap hari

#8etter108MP 

TAG : @g00kielucky 

2168",jkmytime097,-1
2021-03-30 14:42:04+00:00,1376907584997761026,kalian pada belajar offlen gaa? apa masi daring?,ceyelee,-1
2021-04-09 05:07:08+00:00,1380386776854917122,"Memantau kegiatan ujicoba PTM hari ke-3 di Smansa Pekalongan, di sela kegiatan Ujian Sekolah moda daring &amp; Layanan Belajar Daring (PJJ) inilah kesibukan Sekolah .. Semangat Bp/Ibu Guru @pdkjateng @pkl_sma1pkl @ganjarpranowo @dit_sma https://t.co/ZCXVD7HP8Y",cabdin13,1
2021-05-07 22:34:16+00:00,1390797158014541824,@taynewvie gapapa tidur lagi aja kan sekolah daring,tnvthusiast,1
2021-03-17 05:25:12+00:00,1372056402710040576,"Pas pulang urus SIM, SiTengah dengan seragam sedang belajar daring sembari didampingi bapaknya.

SiTengah : ""Selamat datang mama. Ma, diajarin sama papa ena lho, papa sabar banget. Aku suka.""😄

Mamak : ""Bagooos.""",yuhanitansar,1
2021-05-04 07:33:27+00:00,1389483293301612545,"@OPPOIndonesia Butuh memori besar 128GB di Oppo A54 buat simpan file pembelajaran.saat daring gini hp ku udah gak kuat, sring nmpang dikmpter sekolah. Smg rzekiku krn aku pencinta Oppo ini udah 5 th pake msih bgus. @OPPOIndonesia @Anjeli41 @RienRoupdex @aancawang @argiemae01 @_efghan #OPPOA54 2",dwianggiip_,1
2021-03-16 14:55:10+00:00,1371837450658713601,@schfess udh stop ga sanggup belajar daring 🙏,nbl__3311,-1
2021-03-24 04:36:54+00:00,1374580963250819072,"[cm] guys ada yg pernah ganti batere laptop acer ga? kira2 harganya berapaan ya?
laptopku baterenya bocor sejak kuliah daring 😞 mana chargernya juga kadang gamau ngisi. sepertinya chargernya juga mulai rusak deh karena laptopnya dipake sambil dicharge trus😭",collegemenfess,1
2021-05-12 05:37:16+00:00,1392353160526585860,"@CNNIndonesia Sekolah masih daring aj ko aneh"""",,,,",Abdytomi1,-1
2021-04-14 08:21:11+00:00,1382247548925059075,"Sekolah daring kek gini apa2 dipantau, kasian juga pressure dari mana2",mknv_,-1
2021-03-17 10:10:12+00:00,1372128122779267074,@salahsambungya Kok malah nyalahin sekolah daring??? Logika nya dimana???,AlainSchmiidt,-1
2021-05-02 21:25:16+00:00,1388967851076194304,"Semangat buat kamu yang hari ini sekolah daring,kuliah online,kerja offline dan yg kerja online!🤗💜

I vote #Dynamite for #BestMusicVideo at the 2021 #iHeartAwards @BTS_twt",sharsyaap,1
2021-03-18 06:44:22+00:00,1372438714257788935,ya gusti outfit kuliah daring https://t.co/gwTTOzhh6R,eajbeom,1
2021-03-18 14:20:21+00:00,1372553466808213509,"@trailerjhope @realmeindonesia done kak nora, bismillah cici mau menang GA karena HP yang ini udah 5 tahun ga ganti dan udah lemod parah😭😭 penyimpanan nya juga udah penuh, gabisa buat nyimpen materi pas daring😭🙏🙏 cici susah banget kalo belajar tiap hari bismillah ya allah

#8etter108MP 
#8etter108MP

1163",jkmytime097,-1
2021-04-07 01:40:11+00:00,1379609919779860481,"@Jeykookies_ ╭┈─────── ೄྀ࿐ ˊˎ-
╰┈➤ ❝ [jangan lupamandi, makan, bersyukur, semangat daring/sekolah/kuliah/kerja, semoga harimu menyenangkan!🌸 ] ࿐ྂ
              —— —͙ – -
                ˚  ·         
       * ˚ ✦ ❞",vtaenishiniki,1
2021-03-16 15:22:01+00:00,1371844206877159426,"@subtanyarl prnh jg waktu sebelum daring, kan brgkt sekolah tuh pake motor, begonya gue udh mau nyampe sekolah ternyata gasadar ga pake helm, pantes selama perjalanan pala gue enteng bgt, anginnya lbh berasa dr pd biasanya, pdhl gue bbrp kali nengok spion tpi ga sadar",zeivyous,1
2021-03-17 12:02:46+00:00,1372156452492644355,"@trailerjhope @realmeindonesia done kak nora, bismillah cici mau menang GA karena HP yang ini udah 5 tahun ga ganti dan udah lemod parah😭😭 penyimpanan nya juga udah penuh, gabisa buat nyimpen materi pas daring😭🙏🙏 cici susah banget kalo belajar tiap harii bismillah ya allah

#8etter108MP 
#8etter108MP

439",jkmytime097,-1
2021-03-18 22:40:22+00:00,1372679297773674497,"@PutraWadapi Sementara byk terdakwa saat dipanggil sidang gak mau dtg hny diwakili pengacaranya, ee.. ini dg gentle mau dtg tp malah dilarang. Alasannya tll dibuat2. Kalo takut krn covid, hrsnya persidangan dilakukan hakim, jaksa, pengacara, dll, di rumah mrk msg2 scr daring. Spt WFH/sekolah.",IraSamsudin,-1
2021-03-25 02:56:18+00:00,1374918033618075650,"@sygfess menurutku kalo udah sampe taraf kuliah, laptop pribadi juga merupakan hal penting
bukan bermaksud apa apa, biar lebih memudahkan aja dalam mengerjakan sesuatu gitu, terlebih dalam daring seperti ini dan apalagi dalam jurusan informatika, yang nantiya sering ngoding",iniiyaanmu,1
2021-04-29 00:39:52+00:00,1387567272512811009,"@seokjinbbyrawrr daring/kerja/kuliah ga?
kalo ""iya"" semangat yahh, hv a great day hyung!!;)",VntaeZz,1
2021-04-04 09:59:25+00:00,1378648393912750089,"@patrocloes @napasmuu @collegemenfess Nah.. pengen cepet2 offline guys.. 
Sekolah ane masih daring. Dah setahu 😭",dedewmydear,1
2021-05-06 12:12:26+00:00,1390278276954787841,"Beberapa orang bosan belajar daring dan akhirnya menikah, seandainya semua yang bosan setiap hari daring2 gak penting juga menikah kayanya seru juga.",Nansiel__,-1
2021-04-28 22:51:20+00:00,1387539958706053120,Hampir dua tahun gak sih kuliah daring wkwkwkw🙃.semoga semester 7 kena daring deh biar skripsian dirumah aja 🙃.,RIZKISAPUTRI1,1
2021-05-07 05:24:24+00:00,1390537980058632194,@collegemenfess kalo ada yg mo nikahin yukk cape ni kuliah daring ngerjain tugas ampe mumet :),sepertimangga,-1
2021-04-05 01:46:43+00:00,1378886787439849473,@TAEGVKK Aku udah ga daring tapi hrs belajar buat utbk🤯,yoonieggs,-1
2021-04-23 13:39:16+00:00,1385589087130636292,"@putrirahmaPR Seruu bingit inii, berasa kuliah daring wkwkk",irwanyns,1
2021-05-06 12:17:42+00:00,1390279602547822592,"@collegemenfess Kalau bosan belajar daring ya gak usah belajar lah, gitu aja kok repot. Bener ga ? @mamiq_thariq",Rifqifzn,1
2021-05-07 03:22:21+00:00,1390507265854255104,"@mitszky New info :
Rupanya.. ngga libur atuh 😭😭 cuman diubah jadi Belajar daring lagi ksjsjskskks kirain dah libur.. soalnya, Wali kelas yg bilangin gitu.. eh tahunya guru guru Masih Ngajar kek biasa..",AkirachanA,-1
2021-04-07 14:25:29+00:00,1379802513168244736,astagfirullah bsok b indo dikumpul ke sekolah tpi buku ku pas daring ini gado² yaampun semua mapel jdi 1 buku https://t.co/X16z5rZWDD,_nanurrn,-1
2021-04-08 22:13:54+00:00,1380282784187514880,"Sedih banget ini hari terakhir kita ngampus. Abis hari ini, gaakan ada lagi belajar bareng² di kelas as anak kampus. Our really last day on our S1, guys..gonna miss y'all 😔💔

Mana lagi corona. Gaenak bgt pisahnya dihalangi daring 💔 @tarahajimaaa @unguhunter @Dhewi_rasya",lilaccountz,-1
2021-04-28 05:40:36+00:00,1387280567113113602,Kanwil DJP Jawa Timur III berkesempatan menjadi Keynote Speaker pada Kuliah Tamu 2021 yang diadakan secara daring oleh Himpunan Mahasiswa Perpajakan Vokasi Universitas Brawijaya pada selasa (27/4). https://t.co/Yf5obNsrIc,pajakjatim3,1
2021-04-15 02:24:26+00:00,1382520159215112195,Kuliah daring absen doang. Gada yg masuk:((,HHAHspicy,-1
2021-03-17 17:23:18+00:00,1372237117208731649,"@trailerjhope @realmeindonesia done kak nora, bismillah cici mau menang GA karena HP yang ini udah 5 tahun ga ganti dan udah lemod parah😭😭 penyimpanan nya juga udah penuh, gabisa buat nyimpen materi pas daring😭🙏🙏 cici susah banget kalo belajar tiap harii bismillah ya allah

#8etter108MP 
#8etter108MP

638",jkmytime097,-1
2021-03-18 16:18:51+00:00,1372583286761869312,"@myfirstdaisies daring, tapi jam 11 mau ke sekolah si :(
kak al kenapa belum tidur?",nanajaela,-1
2021-05-07 00:41:15+00:00,1390466723199950852,"plis q klo ga ke sekolah ya malah kadar kebegoan bertambah. alias yg oplen dpt ilmu, yg daring tugas doang. kan males????! https://t.co/0hDsHVc5NI",kleribelq,-1
2021-05-02 01:44:54+00:00,1388670804011798528,"Hikmah dari sekolah daring mereka bisa memilih untuk fokus dimana. Dalam hal ini sesuatu yang pengen mereka tekuni kelak.

Tidak perlu berseragam, dan bebas berkarya dan bermain kapan saja.",anggiedwidowati,1
2021-03-30 14:50:37+00:00,1376909735056658432,"Aku nggak tau harus senang atau sedih krn jujur belajar daring udah kesel karena tugas suka ngadi-ngadi, jam belajar lebih padet dari sekolah offline, terus hampir setahun aku blm dapet fasilitas seragam, dan udah mau setahun pula tp aku praktik kejuruan bisa diitung jari👍🏻 https://t.co/LqlsqWrUX6",imafoolforya,1
2021-04-28 06:02:52+00:00,1387286172171259905,"@ROLLING_KPOP @ENHYPEN kalo sekolah online kan daring
alo kamu ""my darling""

#CBL_ENHYPEN @ENHYPEN_members",lhslum,1
2021-03-23 14:39:20+00:00,1374370180390735873,"Efek bosan sekolah daring, sekelompok siswa memilih mendirikan orkes dangdut https://t.co/taoubChV3D",BagusWSetyawan,-1
2021-04-05 00:44:00+00:00,1378871005184057352,"@jeonjeggukie Janlup mandi ya kalo lagi sekolah daring/kuliah/kerja semangat buat hari ini, janlup sarapan juga have a nice day💗",jasmineueo,1
2021-03-26 15:12:06+00:00,1375465590912000007,"Wacana sekolah tatap muka aja udah ada malah sebagian sudah melakukan nya
Nah Kuliah kapan..? 
Tau gitu aing kuliah di UT 
Daring iya sambil gawe juga Sabi",Dvr_Ahsan,1
2021-03-18 03:17:35+00:00,1372386673057665029,"@trailerjhope @realmeindonesia done kak nora, bismillah cici mau menang GA karena HP yang ini udah 5 tahun ga ganti dan udah lemod parah😭😭 penyimpanan nya juga udah penuh, gabisa buat nyimpen materi pas daring😭🙏🙏 cici susah banget kalo belajar tiap harii bismillah ya allah

#8etter108MP 
#8etter108MP

897",jkmytime097,-1
2021-04-27 17:50:05+00:00,1387101759617728515,"Di semester 6 ini sumpah bener-bener gw sama tmn-tmn gw nol banget yg di tangkap ilmunya dri matkul kuliah smstr ini.

Gk suka daring pokoknya😔",musfa_963,1
2021-04-09 04:46:56+00:00,1380381694314700802,"Ada yg bilang sekolah online saat pandemi itu gak enak. Bosan, gk bisa ketemu temen2 dan semua daring",AjiWords,-1
2021-04-07 00:57:45+00:00,1379599241635454976,"@ARCRMOEN ╭┈─────── ೄྀ࿐ ˊˎ-
╰┈➤ ❝ [jangan lupamandi, makan, bersyukur, semangat daring/sekolah/kuliah/kerja, semoga harimu menyenangkan!🌸 ] ࿐ྂ
              —— —͙ – -
                ˚  ·         
       * ˚ ✦ ❞",vtaenishiniki,1
2021-03-17 13:58:29+00:00,1372185573444575234,"@trailerjhope @realmeindonesia done kak nora, bismillah cici mau menang GA karena HP yang ini udah 5 tahun ga ganti dan udah lemod parah😭😭 penyimpanan nya juga udah penuh, gabisa buat nyimpen materi pas daring😭🙏🙏 cici susah banget kalo belajar tiap harii bismillah ya allah

#8etter108MP 
#8etter108MP

538",jkmytime097,1
2021-04-24 10:13:28+00:00,1385899686024728581,"11.kita hanya sampai pada sekolah daring. Itu pun tidak jelas apa penjelasannya. Jadi mari belajar mandiri, sesuai tingkat dan keyakinan masing-masing.",gadisresidu_b3,-1
2021-03-29 03:32:03+00:00,1376376582495952900,Semangat pagi kita kuliah Daring https://t.co/fly0Npaetl,ahmadkomar2,1
2021-03-16 08:23:23+00:00,1371738854265212928,"struggle ngajar melalui daring:

dikacangin🙂
sumpa gaenak bgt cuy ngajar tp ga ada yg sautin. jadi buat siapapun yg masih belajar daring entah kuliah atau sekolah, plis tanggepin guru/dosen kalo nanya hal yg bisa kalian jawab.",yuppikachu,1
2021-04-05 02:14:01+00:00,1378893659026776067,"males banget pagi pagi dingin tapi sekolah daring, pengen tidur /canis lupus familiaris/",hmcantik,-1
2021-03-24 14:19:40+00:00,1374727621716582402,"Kuliah Luring, Kapan?

Setelah setahun lamanya kita berkutat dengan kehidupan perkuliahan daring,  akhirnya wacana kuliah tatap muka menemukan titik terangnya loh! Rencananya, hal itu akan dimulai pada Juli 2021. Eits, tunggu dulu, ada syaratnya. https://t.co/IyZnZg35Ua",rianiputami_,-1
2021-05-02 11:04:04+00:00,1388811523565363204,"5 Aplikasi Belajar Daring Buatan Lokal, Bantu Anak Belajar dari Rumah https://t.co/u1sNgUI5pl",Cerita_Parapuan,1
2021-05-03 12:56:10+00:00,1389202121698930690,@Yustikaaaaaaa @UNSfess_ Gak aku block ya,kuliahdaring,-1
2021-04-22 09:11:31+00:00,1385159320543784965,"jauh2 bener sampe skripsi bab 3, kmrn jurusan adek w bikin proker ada segmen sharing2 kendala belajar daring antar dosen-mhs, ada mhs yg curhat pengen nikah aja nyesel kuliah karena tugas kampusnya susehhh
.
.
.
di semester dua kuliah 🙃 https://t.co/pUjVKBxnY1",fikakh,1
2021-04-03 14:18:22+00:00,1378351172260560897,"Kejenuhan anak di rumah, atau stress orangtua dampingin anak belajar di rumah, atau keterbatasan fasilitas belajar daring, atau kualitas PJJ yang rendah tidak sebanding dengan risiko anak jika belajar di sekolah. Kita masih berada dalam pandemi. Titik.",dickylopulalan,-1
2021-04-22 07:13:47+00:00,1385129691586072584,@sherpa701 @SaharBanu12 Selamat buat pemenang dan buat Bapaknya semoga anaknya bisa belajar daring dan tumbuh jadi anak yang sukses Aamiin,gia_pickme,1
2021-04-20 05:18:34+00:00,1384375918571888645,"Skill-skill dasar seperti ini padahal yang bisa memberikan perbedaan bagi kehidupan seseorang. Ini sama halnya seperti sedang kuliah daring, untuk mengaktifkan video itu merupakan salah satu skill yg tidak dimiliki banyak orang juga loh. 😂 https://t.co/rK0wEqwytp",ucuupppppppp,1
2021-03-18 08:28:44+00:00,1372464979052433411,"@trailerjhope @realmeindonesia done kak nora, bismillah cici mau menang GA karena HP yang ini udah 5 tahun ga ganti dan udah lemod parah😭😭 penyimpanan nya juga udah penuh, gabisa buat nyimpen materi pas daring😭🙏🙏 cici susah banget kalo belajar tiap harii bismillah ya allah

#8etter108MP 
#8etter108MP

959",jkmytime097,-1
2021-04-15 22:41:28+00:00,1382826437275652098,"[MADING]

Hallo warga matematika
Gimana nih kuliah daringnya? pasti masih semangat kan? atau udah mulai jenuh? 
Nah, ada sesuatu yang baru lohh🤫 yang bisa menjadi selingan sesaat kalian ketika udah mulai jenuh sama tugas kuliah daring. Apa coba tebak???🤭 https://t.co/IAQuDljEzT",HimatikaUNSOED,-1
2021-05-06 09:02:48+00:00,1390230556961501194,@AREAJULID untuk jam belajar melalui zoom umumnya dikurangi krn terkait kuota dan kemampuan siswa secara finansial dlm mengikuti belajar daring nah dari waktu yg singkat itu waktu latihan soal terpotong tanpa pengawasan guru. jadi seakan2 seperti PR.,daardul,1
2021-04-03 09:23:18+00:00,1378276914280853508,"@firdzaradiany @kamilmoon @neserike @anonblobfish Apalagi daerahnya yg pelosok, yg sinyalnya untup2, belajar daring pasti menemukan banyak kendala sinyal. Wifi pun juga mahaaal. Kurangnya edukasi ttg pandemi pun gacukup, karena realitanya ada banyak faktor yg membuat penduduk di daerah nenekku tinggal sudah ingin bljr tatap muka",iniamilki,1
2021-05-04 04:37:19+00:00,1389438968186294275,"Di sekolah kami (kurikulum K12 Amerika) ini masuk di pelajaran Digital Citizenship, diajari mulai kelas 7 Middle School. Masuk di dalamnya: perundungan daring, bahaya manipulasi foto, identifikasi hate-speech, dll.

Kurikulum nasional apa ga kepikiran ngajarin ini di sekolah ya? https://t.co/DWEBPb7S5l",Miss_Morra,-1
2021-05-06 00:31:42+00:00,1390101934548287489,"@schfess pagi mending refreshing dulu, lakuin yang kamu suka sebelum sekolah biar nanti pas sekolah kamu fresh dan bisa nyerep pelajaran dgn baik, ambis dan lanjut belajarnya nanti aja abis daring maybe sore ke malem atau malem ke subuh, aku prefer mlm-subuh sih",heyimexist,1
2021-03-18 03:12:27+00:00,1372385383707676676,"@trailerjhope @realmeindonesia done kak nora, bismillah cici mau menang GA karena HP yang ini udah 5 tahun ga ganti dan udah lemod parah😭😭 penyimpanan nya juga udah penuh, gabisa buat nyimpen materi pas daring😭🙏🙏 cici susah banget kalo belajar tiap harii bismillah ya allah

#8etter108MP 
#8etter108MP

866",jkmytime097,-1
2021-03-23 09:57:09+00:00,1374299168349462534,"Memasuki semester ketiga kuliah dalam jaringan (daring), bantuan kuota di UIN Syarif Hidayatullah Jakarta untuk semester genap ini tak kunjung ada kejelasan. 

Baca selengkapnya di https://t.co/AwgpRO4N3l

#bantuankuota #uinjkt #jlonline https://t.co/kw2rJ6Yk3W",journoliberta,-1
2021-03-17 05:03:01+00:00,1372050819395198978,cah sekolah/kuliah daring bukan tambah pinter kok tambah goblok 😣,KediriFess,-1
2021-04-07 23:36:42+00:00,1379941231875158022,"Tatap muka atau daring, yg dipelajari di sekolah adalah Tari Piring berasal dari mana, Perang Diponegoro kapan berakhir. 

Mau nyari kualitas apa? https://t.co/L841Vb9DBl",wilsonsitorus,-1
2021-03-29 04:11:57+00:00,1376386623487635457,@nasigoreng_____ Editanmu jele,kuliahdaring,-1
2021-04-09 01:17:03+00:00,1380328874374930432,"@ontahe terakhir kali pas lagi nginep di sekolah sama anak pramuka yg lain pas mau kemah, excited banget bangun2 solat subuh trs mandi di sekolah. Sisanya ngga ada, bangun ya yaudah bangun aja, bangun2 jg langsung daring gt ga seru bgt",seraindipitae,1
