Cleaning,Tokenizing,Normalization,Stopword_Removal,Stemming,Sentimen
wkwk gua babget ulangan belajarnya pas mendekati tuh ulangan biar ga lupa tapi kalo lagi daring kaga belajar samsek wkwkwk semangattts yahhh,"['wkwk', 'gua', 'babget', 'ulangan', 'belajarnya', 'pas', 'mendekati', 'tuh', 'ulangan', 'biar', 'ga', 'lupa', 'tapi', 'kalo', 'lagi', 'daring', 'kaga', 'belajar', 'samsek', 'wkwkwk', 'semangattts', 'yahhh']","['tertawa', 'saya', 'babget', 'ulangan', 'belajarnya', 'pas', 'mendekati', 'itu', 'ulangan', 'biar', 'tidak', 'lupa', 'tapi', 'kalau', 'lagi', 'daring', 'tidak', 'belajar', 'sama sekali', 'tertawa', 'semangattts', 'yahhh']","['tertawa', 'babget', 'ulangan', 'belajarnya', 'pas', 'mendekati', 'ulangan', 'biar', 'lupa', 'sama sekali', 'tertawa', 'semangattts', 'yahhh']","['tertawa', 'babget', 'ulang', 'ajar', 'pas', 'dekat', 'ulang', 'biar', 'lupa', 'sama sekali', 'tertawa', 'semangattts', 'yahhh']",1
moots doain aku negatif cororong yaa please aku gamau sekolah daring terus,"['moots', 'doain', 'aku', 'negatif', 'cororong', 'yaa', 'please', 'aku', 'gamau', 'sekolah', 'daring', 'terus']","['moots', 'doain', 'aku', 'negatif', 'cororong', 'iya', 'please', 'aku', 'tidak mau', 'sekolah', 'daring', 'terus']","['moots', 'doain', 'negatif', 'cororong', 'please', 'tidak mau']","['moots', 'doain', 'negatif', 'cororong', 'please', 'tidak mau']",1
bsk daring atau kuliah atau kerja pokoknya semangat ya,"['bsk', 'daring', 'atau', 'kuliah', 'atau', 'kerja', 'pokoknya', 'semangat', 'ya']","['besok', 'daring', 'atau', 'kuliah', 'atau', 'kerja', 'pokoknya', 'semangat', 'iya']","['besok', 'kerja', 'pokoknya', 'semangat']","['besok', 'kerja', 'pokok', 'semangat']",1
done kak nora bismillah cici mau menang ga karena hp yang ini udah tahun ga ganti dan udah lemod parah penyimpanan nya juga udah penuh gabisa buat nyimpen materi pas daring cici susah banget kalo belajar tiap harii bismillah ya allah,"['done', 'kak', 'nora', 'bismillah', 'cici', 'mau', 'menang', 'ga', 'karena', 'hp', 'yang', 'ini', 'udah', 'tahun', 'ga', 'ganti', 'dan', 'udah', 'lemod', 'parah', 'penyimpanan', 'nya', 'juga', 'udah', 'penuh', 'gabisa', 'buat', 'nyimpen', 'materi', 'pas', 'daring', 'cici', 'susah', 'banget', 'kalo', 'belajar', 'tiap', 'harii', 'bismillah', 'ya', 'allah']","['done', 'kak', 'nora', 'bismillah', 'kakak perempuan', 'mau', 'menang', 'tidak', 'karena', 'hp', 'yang', 'ini', 'sudah', 'tahun', 'tidak', 'ganti', 'dan', 'sudah', 'lemot', 'parah', 'penyimpanan', 'nya', 'juga', 'sudah', 'penuh', 'tidak bisa', 'buat', 'menyimpan', 'materi', 'pas', 'daring', 'kakak perempuan', 'susah', 'sekali', 'kalau', 'belajar', 'tiap', 'hari', 'bismillah', 'iya', 'allah']","['done', 'kak', 'nora', 'bismillah', 'kakak perempuan', 'menang', 'hp', 'ganti', 'lemot', 'parah', 'penyimpanan', 'nya', 'penuh', 'tidak bisa', 'menyimpan', 'materi', 'pas', 'kakak perempuan', 'susah', 'bismillah', 'allah']","['done', 'kak', 'nora', 'bismillah', 'kakak perempuan', 'menang', 'hp', 'ganti', 'lot', 'parah', 'simpan', 'nya', 'penuh', 'tidak bisa', 'simpan', 'materi', 'pas', 'kakak perempuan', 'susah', 'bismillah', 'allah']",-1
adekku cowo kelas smp tadinya gapunya hp gara gara sekolah daring jadi dikasih pegang hp kerjaannya abis sekolah dari main game ml bikin sketsa gambar kalo gk ya nonton anime masih bersyukur seenggaknya ga search yg aneh aneh di hpnya tp ya ttp aja ada rasa khawatir,"['adekku', 'cowo', 'kelas', 'smp', 'tadinya', 'gapunya', 'hp', 'gara', 'gara', 'sekolah', 'daring', 'jadi', 'dikasih', 'pegang', 'hp', 'kerjaannya', 'abis', 'sekolah', 'dari', 'main', 'game', 'ml', 'bikin', 'sketsa', 'gambar', 'kalo', 'gk', 'ya', 'nonton', 'anime', 'masih', 'bersyukur', 'seenggaknya', 'ga', 'search', 'yg', 'aneh', 'aneh', 'di', 'hpnya', 'tp', 'ya', 'ttp', 'aja', 'ada', 'rasa', 'khawatir']","['adekku', 'cowo', 'kelas', 'smp', 'tadinya', 'gapunya', 'hp', 'gara', 'gara', 'sekolah', 'daring', 'jadi', 'dikasih', 'pegang', 'hp', 'kerjaannya', 'habis', 'sekolah', 'dari', 'main', 'game', 'ml', 'membuat', 'sketsa', 'gambar', 'kalau', 'tidak', 'iya', 'nonton', 'anime', 'masih', 'bersyukur', 'seenggaknya', 'tidak', 'search', 'yang', 'aneh', 'aneh', 'di', 'hpnya', 'tapi', 'iya', 'tetap', 'saja', 'ada', 'rasa', 'khawatir']","['adekku', 'cowo', 'kelas', 'smp', 'gapunya', 'hp', 'gara', 'gara', 'dikasih', 'pegang', 'hp', 'kerjaannya', 'habis', 'main', 'game', 'ml', 'sketsa', 'gambar', 'nonton', 'anime', 'bersyukur', 'seenggaknya', 'search', 'aneh', 'aneh', 'hpnya', 'khawatir']","['adekku', 'cowo', 'kelas', 'smp', 'gapunya', 'hp', 'gara', 'gara', 'kasih', 'pegang', 'hp', 'kerja', 'habis', 'main', 'game', 'ml', 'sketsa', 'gambar', 'nonton', 'anime', 'syukur', 'enggak', 'search', 'aneh', 'aneh', 'hpnya', 'khawatir']",1
alhamdulillah berarti rajin soalnya kuliah daring itu memaksa dan harus memicu motivasi diri sendiri,"['alhamdulillah', 'berarti', 'rajin', 'soalnya', 'kuliah', 'daring', 'itu', 'memaksa', 'dan', 'harus', 'memicu', 'motivasi', 'diri', 'sendiri']","['alhamdulillah', 'berarti', 'rajin', 'soalnya', 'kuliah', 'daring', 'itu', 'memaksa', 'dan', 'harus', 'memicu', 'motivasi', 'diri', 'sendiri']","['alhamdulillah', 'rajin', 'memaksa', 'memicu', 'motivasi']","['alhamdulillah', 'rajin', 'paksa', 'picu', 'motivasi']",-1
ga cuma kuliah yang daring temen pun jg daring skrg jgn sampe bukber virtual jugaa,"['ga', 'cuma', 'kuliah', 'yang', 'daring', 'temen', 'pun', 'jg', 'daring', 'skrg', 'jgn', 'sampe', 'bukber', 'virtual', 'jugaa']","['tidak', 'cuma', 'kuliah', 'yang', 'daring', 'teman', 'juga', 'juga', 'daring', 'sekarang', 'jangan', 'sampai', 'bukber', 'virtual', 'jugaa']","['teman', 'bukber', 'virtual', 'jugaa']","['teman', 'bukber', 'virtual', 'jugaa']",1
lebih sebulan rasa bosan sudah hadir optimis setelah lebaran pandemi akan berakhir disiplin tinggi diterapkan sesekali lah main ke luar cari udara biar ga ngap,"['lebih', 'sebulan', 'rasa', 'bosan', 'sudah', 'hadir', 'optimis', 'setelah', 'lebaran', 'pandemi', 'akan', 'berakhir', 'disiplin', 'tinggi', 'diterapkan', 'sesekali', 'lah', 'main', 'ke', 'luar', 'cari', 'udara', 'biar', 'ga', 'ngap']","['lebih', 'sebulan', 'rasa', 'bosan', 'sudah', 'hadir', 'optimis', 'setelah', 'lebaran', 'pandemi', 'akan', 'berakhir', 'disiplin', 'tinggi', 'diterapkan', 'sesekali', 'lah', 'main', 'ke', 'luar', 'cari', 'udara', 'biar', 'tidak', 'ngap']","['sebulan', 'bosan', 'hadir', 'optimis', 'lebaran', 'pandemi', 'disiplin', 'diterapkan', 'main', 'cari', 'udara', 'biar', 'ngap']","['bulan', 'bosan', 'hadir', 'optimis', 'lebaran', 'pandemi', 'disiplin', 'terap', 'main', 'cari', 'udara', 'biar', 'ngap']",1
ngakak sih sama sistem pendidikan sekarang un dihapus sih memang tapi ujian akhirnya matpel malah banyak kali muatan pelajarannya dari kelas gak kebayang yg belajar daring gimana belajar tatap muka jam aja masih gak efisien duh,"['ngakak', 'sih', 'sama', 'sistem', 'pendidikan', 'sekarang', 'un', 'dihapus', 'sih', 'memang', 'tapi', 'ujian', 'akhirnya', 'matpel', 'malah', 'banyak', 'kali', 'muatan', 'pelajarannya', 'dari', 'kelas', 'gak', 'kebayang', 'yg', 'belajar', 'daring', 'gimana', 'belajar', 'tatap', 'muka', 'jam', 'aja', 'masih', 'gak', 'efisien', 'duh']","['tertawa', 'sih', 'sama', 'sistem', 'pendidikan', 'sekarang', 'un', 'dihapus', 'sih', 'memang', 'tapi', 'ujian', 'akhirnya', 'matpel', 'bahkan', 'banyak', 'kali', 'muatan', 'pelajarannya', 'dari', 'kelas', 'tidak', 'kebayang', 'yang', 'belajar', 'daring', 'bagaimana', 'belajar', 'tatap', 'muka', 'jam', 'saja', 'masih', 'tidak', 'efisien', 'aduh']","['tertawa', 'sih', 'sistem', 'pendidikan', 'un', 'dihapus', 'sih', 'ujian', 'matpel', 'kali', 'muatan', 'pelajarannya', 'kelas', 'kebayang', 'tatap', 'muka', 'jam', 'efisien', 'aduh']","['tertawa', 'sih', 'sistem', 'didik', 'un', 'hapus', 'sih', 'uji', 'matpel', 'kali', 'muat', 'ajar', 'kelas', 'bayang', 'tatap', 'muka', 'jam', 'efisien', 'aduh']",-1
temen gue udah ada yang ujian sekolah daring soalnya dia lagi di jerman fyi dia satu sekolah ma gue gila ga si apa iya gue tnya apa kisi kisi ujian sekolah nya apa iy ga ditabok gue,"['temen', 'gue', 'udah', 'ada', 'yang', 'ujian', 'sekolah', 'daring', 'soalnya', 'dia', 'lagi', 'di', 'jerman', 'fyi', 'dia', 'satu', 'sekolah', 'ma', 'gue', 'gila', 'ga', 'si', 'apa', 'iya', 'gue', 'tnya', 'apa', 'kisi', 'kisi', 'ujian', 'sekolah', 'nya', 'apa', 'iy', 'ga', 'ditabok', 'gue']","['teman', 'saya', 'sudah', 'ada', 'yang', 'ujian', 'sekolah', 'daring', 'soalnya', 'dia', 'lagi', 'di', 'jerman', 'sebagai informasi', 'dia', 'satu', 'sekolah', 'ma', 'saya', 'gila', 'tidak', 'si', 'apa', 'iya', 'saya', 'tnya', 'apa', 'kisi', 'kisi', 'ujian', 'sekolah', 'nya', 'apa', 'iya', 'tidak', 'ditabok', 'saya']","['teman', 'ujian', 'jerman', 'sebagai informasi', 'ma', 'gila', 'si', 'tnya', 'kisi', 'kisi', 'ujian', 'nya', 'ditabok']","['teman', 'uji', 'jerman', 'bagai informasi', 'ma', 'gila', 'si', 'tnya', 'kisi', 'kisi', 'uji', 'nya', 'tabok']",1
