Cleaning,Tokenizing,Normalization,Stopword_Removal,Stemming,Sentimen
done kak nora bismillah cici mau menang ga karena hp yang ini udah tahun ga ganti dan udah lemod parah penyimpanan nya juga udah penuh gabisa buat nyimpen materi pas daring cici susah banget kalo belajar tiap harii bismillah ya allah,"['done', 'kak', 'nora', 'bismillah', 'cici', 'mau', 'menang', 'ga', 'karena', 'hp', 'yang', 'ini', 'udah', 'tahun', 'ga', 'ganti', 'dan', 'udah', 'lemod', 'parah', 'penyimpanan', 'nya', 'juga', 'udah', 'penuh', 'gabisa', 'buat', 'nyimpen', 'materi', 'pas', 'daring', 'cici', 'susah', 'banget', 'kalo', 'belajar', 'tiap', 'harii', 'bismillah', 'ya', 'allah']","['done', 'kak', 'nora', 'bismillah', 'kakak perempuan', 'mau', 'menang', 'tidak', 'karena', 'hp', 'yang', 'ini', 'sudah', 'tahun', 'tidak', 'ganti', 'dan', 'sudah', 'lemot', 'parah', 'penyimpanan', 'nya', 'juga', 'sudah', 'penuh', 'tidak bisa', 'buat', 'menyimpan', 'materi', 'pas', 'daring', 'kakak perempuan', 'susah', 'sekali', 'kalau', 'belajar', 'tiap', 'hari', 'bismillah', 'iya', 'allah']","['done', 'kak', 'nora', 'bismillah', 'kakak perempuan', 'menang', 'hp', 'ganti', 'lemot', 'parah', 'penyimpanan', 'nya', 'penuh', 'tidak bisa', 'menyimpan', 'materi', 'pas', 'kakak perempuan', 'susah', 'bismillah', 'allah']","['done', 'kak', 'nora', 'bismillah', 'kakak perempuan', 'menang', 'hp', 'ganti', 'lot', 'parah', 'simpan', 'nya', 'penuh', 'tidak bisa', 'simpan', 'materi', 'pas', 'kakak perempuan', 'susah', 'bismillah', 'allah']",-1
sebelumnya selamat kak uda lolos snmptn semoga sukses selalu buat kedepannya makasih uda ngadain ini aku mau nomor kak buat persiapan belajar utbk dari sekarang karena selama daring banyak waktu luang semangat kak,"['sebelumnya', 'selamat', 'kak', 'uda', 'lolos', 'snmptn', 'semoga', 'sukses', 'selalu', 'buat', 'kedepannya', 'makasih', 'uda', 'ngadain', 'ini', 'aku', 'mau', 'nomor', 'kak', 'buat', 'persiapan', 'belajar', 'utbk', 'dari', 'sekarang', 'karena', 'selama', 'daring', 'banyak', 'waktu', 'luang', 'semangat', 'kak']","['sebelumnya', 'selamat', 'kak', 'sudah', 'lolos', 'snmptn', 'semoga', 'sukses', 'selalu', 'buat', 'kedepannya', 'terima kasih', 'sudah', 'ngadain', 'ini', 'aku', 'mau', 'nomor', 'kak', 'buat', 'persiapan', 'belajar', 'utbk', 'dari', 'sekarang', 'karena', 'selama', 'daring', 'banyak', 'waktu', 'luang', 'semangat', 'kak']","['selamat', 'kak', 'lolos', 'snmptn', 'semoga', 'sukses', 'kedepannya', 'terima kasih', 'ngadain', 'nomor', 'kak', 'persiapan', 'utbk', 'luang', 'semangat', 'kak']","['selamat', 'kak', 'lolos', 'snmptn', 'moga', 'sukses', 'depan', 'terima kasih', 'ngadain', 'nomor', 'kak', 'siap', 'utbk', 'luang', 'semangat', 'kak']",1
kuliah semester ini paling buruk banyak bolos dan ga merhatiin dosen saat daring terlalu sibuk dengan urusan yg lain,"['kuliah', 'semester', 'ini', 'paling', 'buruk', 'banyak', 'bolos', 'dan', 'ga', 'merhatiin', 'dosen', 'saat', 'daring', 'terlalu', 'sibuk', 'dengan', 'urusan', 'yg', 'lain']","['kuliah', 'semester', 'ini', 'paling', 'buruk', 'banyak', 'bolos', 'dan', 'tidak', 'merhatiin', 'dosen', 'saat', 'daring', 'terlalu', 'sibuk', 'dengan', 'urusan', 'yang', 'lain']","['semester', 'buruk', 'bolos', 'merhatiin', 'dosen', 'sibuk', 'urusan']","['semester', 'buruk', 'bolos', 'merhatiin', 'dosen', 'sibuk', 'urus']",-1
done kak nora bismillah cici mau menang ga karena hp yang ini udah tahun ga ganti dan udah lemod parah penyimpanan nya juga udah penuh gabisa buat nyimpen materi pas daring cici susah banget kalo belajar tiap hari bismillah ya allah,"['done', 'kak', 'nora', 'bismillah', 'cici', 'mau', 'menang', 'ga', 'karena', 'hp', 'yang', 'ini', 'udah', 'tahun', 'ga', 'ganti', 'dan', 'udah', 'lemod', 'parah', 'penyimpanan', 'nya', 'juga', 'udah', 'penuh', 'gabisa', 'buat', 'nyimpen', 'materi', 'pas', 'daring', 'cici', 'susah', 'banget', 'kalo', 'belajar', 'tiap', 'hari', 'bismillah', 'ya', 'allah']","['done', 'kak', 'nora', 'bismillah', 'kakak perempuan', 'mau', 'menang', 'tidak', 'karena', 'hp', 'yang', 'ini', 'sudah', 'tahun', 'tidak', 'ganti', 'dan', 'sudah', 'lemot', 'parah', 'penyimpanan', 'nya', 'juga', 'sudah', 'penuh', 'tidak bisa', 'buat', 'menyimpan', 'materi', 'pas', 'daring', 'kakak perempuan', 'susah', 'sekali', 'kalau', 'belajar', 'tiap', 'hari', 'bismillah', 'iya', 'allah']","['done', 'kak', 'nora', 'bismillah', 'kakak perempuan', 'menang', 'hp', 'ganti', 'lemot', 'parah', 'penyimpanan', 'nya', 'penuh', 'tidak bisa', 'menyimpan', 'materi', 'pas', 'kakak perempuan', 'susah', 'bismillah', 'allah']","['done', 'kak', 'nora', 'bismillah', 'kakak perempuan', 'menang', 'hp', 'ganti', 'lot', 'parah', 'simpan', 'nya', 'penuh', 'tidak bisa', 'simpan', 'materi', 'pas', 'kakak perempuan', 'susah', 'bismillah', 'allah']",-1
mulai menarik kuliah daring semester ini mulai berasa juga kurang tidur mata panda hareeng,"['mulai', 'menarik', 'kuliah', 'daring', 'semester', 'ini', 'mulai', 'berasa', 'juga', 'kurang', 'tidur', 'mata', 'panda', 'hareeng']","['mulai', 'menarik', 'kuliah', 'daring', 'semester', 'ini', 'mulai', 'berasa', 'juga', 'kurang', 'tidur', 'mata', 'panda', 'hareeng']","['menarik', 'semester', 'berasa', 'tidur', 'mata', 'panda', 'hareeng']","['tarik', 'semester', 'asa', 'tidur', 'mata', 'panda', 'hareeng']",-1
selama belajar daring belum ada laporan siswa di cimahi kecanduan gadget adrop ram tatm,"['selama', 'belajar', 'daring', 'belum', 'ada', 'laporan', 'siswa', 'di', 'cimahi', 'kecanduan', 'gadget', 'adrop', 'ram', 'tatm']","['selama', 'belajar', 'daring', 'belum', 'ada', 'laporan', 'siswa', 'di', 'cimahi', 'kecanduan', 'gadget', 'adrop', 'ram', 'tatm']","['laporan', 'siswa', 'cimahi', 'kecanduan', 'gadget', 'adrop', 'ram', 'tatm']","['lapor', 'siswa', 'cimahi', 'candu', 'gadget', 'adrop', 'ram', 'tatm']",-1
halo tementemen psikologi semoga masih pada semangat ya ngejalanin kuliahnya ataupun kegiatankegiatan yang biasa kalian lakuin buat ngilangin rasa jenuh selama masih kuliah daring ini,"['halo', 'tementemen', 'psikologi', 'semoga', 'masih', 'pada', 'semangat', 'ya', 'ngejalanin', 'kuliahnya', 'ataupun', 'kegiatankegiatan', 'yang', 'biasa', 'kalian', 'lakuin', 'buat', 'ngilangin', 'rasa', 'jenuh', 'selama', 'masih', 'kuliah', 'daring', 'ini']","['halo', 'teman teman', 'psikologi', 'semoga', 'masih', 'pada', 'semangat', 'iya', 'ngejalanin', 'kuliahnya', 'ataupun', 'kegiatankegiatan', 'yang', 'biasa', 'kalian', 'lakuin', 'buat', 'ngilangin', 'rasa', 'jenuh', 'selama', 'masih', 'kuliah', 'daring', 'ini']","['halo', 'teman teman', 'psikologi', 'semoga', 'semangat', 'ngejalanin', 'kuliahnya', 'kegiatankegiatan', 'lakuin', 'ngilangin', 'jenuh']","['halo', 'teman teman', 'psikologi', 'moga', 'semangat', 'ngejalanin', 'kuliah', 'kegiatankegiatan', 'lakuin', 'ngilangin', 'jenuh']",1
well lagi di fase pengen belajar tapi kehalang males krn daring wkwk,"['well', 'lagi', 'di', 'fase', 'pengen', 'belajar', 'tapi', 'kehalang', 'males', 'krn', 'daring', 'wkwk']","['well', 'lagi', 'di', 'fase', 'ingin', 'belajar', 'tapi', 'kehalang', 'malas', 'karena', 'daring', 'tertawa']","['well', 'fase', 'kehalang', 'malas', 'tertawa']","['well', 'fase', 'halang', 'malas', 'tertawa']",1
bismillah semoga rejeki kuu lagi butuh banget hp aku nyaa apalagi sekarang sekolah daring hp ku memorinya udah penuh ga bisa di hapus lagi semuanya berguna habis itu aku satu berdua hp ini sama adekkuu makasih kak ga nya semoga kakak lirik akuu,"['bismillah', 'semoga', 'rejeki', 'kuu', 'lagi', 'butuh', 'banget', 'hp', 'aku', 'nyaa', 'apalagi', 'sekarang', 'sekolah', 'daring', 'hp', 'ku', 'memorinya', 'udah', 'penuh', 'ga', 'bisa', 'di', 'hapus', 'lagi', 'semuanya', 'berguna', 'habis', 'itu', 'aku', 'satu', 'berdua', 'hp', 'ini', 'sama', 'adekkuu', 'makasih', 'kak', 'ga', 'nya', 'semoga', 'kakak', 'lirik', 'akuu']","['bismillah', 'semoga', 'rezeki', 'kuu', 'lagi', 'butuh', 'sekali', 'hp', 'aku', 'nyaa', 'apalagi', 'sekarang', 'sekolah', 'daring', 'hp', 'ku', 'memorinya', 'sudah', 'penuh', 'tidak', 'bisa', 'di', 'hapus', 'lagi', 'semuanya', 'berguna', 'habis', 'itu', 'aku', 'satu', 'berdua', 'hp', 'ini', 'sama', 'adekkuu', 'terima kasih', 'kak', 'tidak', 'nya', 'semoga', 'kakak', 'lirik', 'akuu']","['bismillah', 'semoga', 'rezeki', 'kuu', 'butuh', 'hp', 'nyaa', 'hp', 'ku', 'memorinya', 'penuh', 'hapus', 'berguna', 'habis', 'berdua', 'hp', 'adekkuu', 'terima kasih', 'kak', 'nya', 'semoga', 'kakak', 'lirik', 'akuu']","['bismillah', 'moga', 'rezeki', 'kuu', 'butuh', 'hp', 'nyaa', 'hp', 'ku', 'memori', 'penuh', 'hapus', 'guna', 'habis', 'dua', 'hp', 'adekkuu', 'terima kasih', 'kak', 'nya', 'moga', 'kakak', 'lirik', 'akuu']",1
kuliah daring sambil nangis gegara kangen bgt sama chanyeol,"['kuliah', 'daring', 'sambil', 'nangis', 'gegara', 'kangen', 'bgt', 'sama', 'chanyeol']","['kuliah', 'daring', 'sambil', 'menangis', 'gegara', 'kangen', 'sekali', 'sama', 'chanyeol']","['menangis', 'gegara', 'kangen', 'chanyeol']","['menang', 'gegara', 'kangen', 'chanyeol']",-1
bismillah mau saldo shopeepay kaaak ayy buat beli paket buat daring sekolah,"['bismillah', 'mau', 'saldo', 'shopeepay', 'kaaak', 'ayy', 'buat', 'beli', 'paket', 'buat', 'daring', 'sekolah']","['bismillah', 'mau', 'saldo', 'shopeepay', 'kaaak', 'ayy', 'buat', 'beli', 'paket', 'buat', 'daring', 'sekolah']","['bismillah', 'saldo', 'shopeepay', 'kaaak', 'ayy', 'beli', 'paket']","['bismillah', 'saldo', 'shopeepay', 'kaaak', 'ayy', 'beli', 'paket']",1
